year,month,day,sum
2015,1,1,1014
2015,1,2,1107
2015,1,3,1230
2015,1,4,1426
2015,1,5,1409
2015,1,6,1477
2015,1,7,1250
2015,1,8,1011
2015,1,9,842
2015,1,10,783
2015,1,11,758
2015,1,12,777
2015,1,13,963
2015,1,14,1423
2015,1,15,1604
2015,1,16,1274
2015,1,17,1006
2015,1,18,948
2015,1,19,912
2015,1,20,887
2015,1,21,962
2015,1,22,1280
2015,1,23,1143
2015,1,24,1091
2015,1,25,1112
2015,1,26,1646
2015,1,27,1325
2015,1,28,1355
2015,1,29,1566
2015,1,30,1339
2015,1,31,1288
2015,2,1,1341
2015,2,2,1235
2015,2,3,1395
2015,2,4,1311
2015,2,5,1437
2015,2,6,1244
2015,2,7,1518
2015,2,8,1462
2015,2,9,1474
2015,2,10,1465
2015,2,11,1331
2015,2,12,1508
2015,2,13,1168
2015,2,14,1309
2015,2,15,1285
2015,2,16,1346
2015,2,17,1349
2015,2,18,1297
2015,2,19,311
2015,2,20,485
2015,2,21,287
2015,2,22,271
2015,2,23,261
2015,2,24,264
2015,2,25,241
2015,2,26,1062
2015,2,27,1261
2015,2,28,1043
2015,3,1,1163
2015,3,2,1409
2015,3,3,1255
2015,3,4,1262
2015,3,5,1134
2015,3,6,1197
2015,3,7,1333
2015,3,8,1062
2015,3,9,1061
2015,3,10,1280
2015,3,11,1196
2015,3,12,1483
2015,3,13,1377
2015,3,14,1338
2015,3,15,1225
2015,3,16,1363
2015,3,17,1326
2015,3,18,1492
2015,3,19,1458
2015,3,20,1263
2015,3,21,1129
2015,3,22,1140
2015,3,23,1191
2015,3,24,1333
2015,3,25,1377
2015,3,26,1128
2015,3,27,850
2015,3,28,796
2015,3,29,846
2015,3,30,1049
2015,3,31,1001
2015,4,1,986
2015,4,2,977
2015,4,3,845
2015,4,4,942
2015,4,5,933
2015,4,6,972
2015,4,7,1009
2015,4,8,1016
2015,4,9,1099
2015,4,10,1083
2015,4,11,866
2015,4,12,943
2015,4,13,1081
2015,4,14,1080
2015,4,15,1019
2015,4,16,1289
2015,4,17,1288
2015,4,18,1307
2015,4,19,1367
2015,4,20,1433
2015,4,21,1502
2015,4,22,1466
2015,4,23,1076
2015,4,24,1073
2015,4,25,1055
2015,4,26,1055
2015,4,27,1128
2015,4,28,1066
2015,4,29,1116
2015,4,30,1457
2015,5,1,1283
2015,5,2,1041
2015,5,3,1143
2015,5,4,1079
2015,5,5,1216
2015,5,6,1363
2015,5,7,1264
2015,5,8,1238
2015,5,9,1022
2015,5,10,1051
2015,5,11,1131
2015,5,12,1178
2015,5,13,1335
2015,5,14,843
2015,5,15,602
2015,5,16,576
2015,5,17,607
2015,5,18,591
2015,5,19,623
2015,5,20,693
2015,5,21,1166
2015,5,22,1070
2015,5,23,979
2015,5,24,1078
2015,5,25,1097
2015,5,26,1158
2015,5,27,1195
2015,5,28,1053
2015,5,29,1189
2015,5,30,1424
2015,5,31,1151
2015,6,1,1121
2015,6,2,1064
2015,6,3,1113
2015,6,4,1424
2015,6,5,1241
2015,6,6,1460
2015,6,7,1374
2015,6,8,1354
2015,6,9,1404
2015,6,10,1276
2015,6,11,1338
2015,6,12,1415
2015,6,13,1207
2015,6,14,1263
2015,6,15,1368
2015,6,16,1476
2015,6,17,1609
2015,6,18,573
2015,6,19,277
2015,6,20,277
2015,6,21,222
2015,6,22,221
2015,6,23,222
2015,6,24,199
2015,6,25,873
2015,6,26,765
2015,6,27,805
2015,6,28,764
2015,6,29,974
2015,6,30,1167
2015,7,1,936
2015,7,2,1327
2015,7,3,1283
2015,7,4,1306
2015,7,5,1320
2015,7,6,1506
2015,7,7,1361
2015,7,8,1312
2015,7,9,1326
2015,7,10,1373
2015,7,11,1192
2015,7,12,1454
2015,7,13,1248
