,year,month,day,hour,bitcoin
0,2015,1,1,0,27
1,2015,1,1,1,33
2,2015,1,1,2,77
3,2015,1,1,3,61
4,2015,1,1,4,22
5,2015,1,1,5,25
6,2015,1,1,6,36
7,2015,1,1,7,28
8,2015,1,1,8,36
9,2015,1,1,9,38
10,2015,1,1,10,32
11,2015,1,1,11,37
12,2015,1,1,12,31
13,2015,1,1,13,61
14,2015,1,1,14,38
15,2015,1,1,15,35
16,2015,1,1,16,36
17,2015,1,1,17,58
18,2015,1,1,18,53
19,2015,1,1,19,45
20,2015,1,1,20,38
21,2015,1,1,21,58
22,2015,1,1,22,43
23,2015,1,1,23,66
24,2015,1,2,0,56
25,2015,1,2,1,74
26,2015,1,2,2,45
27,2015,1,2,3,61
28,2015,1,2,4,50
29,2015,1,2,5,23
30,2015,1,2,6,68
31,2015,1,2,7,31
32,2015,1,2,8,40
33,2015,1,2,9,24
34,2015,1,2,10,31
35,2015,1,2,11,49
36,2015,1,2,12,37
37,2015,1,2,13,38
38,2015,1,2,14,40
39,2015,1,2,15,36
40,2015,1,2,16,45
41,2015,1,2,17,37
42,2015,1,2,18,29
43,2015,1,2,19,42
44,2015,1,2,20,64
45,2015,1,2,21,52
46,2015,1,2,22,65
47,2015,1,2,23,70
48,2015,1,3,0,61
49,2015,1,3,1,56
50,2015,1,3,2,43
51,2015,1,3,3,44
52,2015,1,3,4,52
53,2015,1,3,5,81
54,2015,1,3,6,73
55,2015,1,3,7,31
56,2015,1,3,8,51
57,2015,1,3,9,32
58,2015,1,3,10,43
59,2015,1,3,11,38
60,2015,1,3,12,40
61,2015,1,3,13,42
62,2015,1,3,14,45
63,2015,1,3,15,49
64,2015,1,3,16,70
65,2015,1,3,17,31
66,2015,1,3,18,33
67,2015,1,3,19,39
68,2015,1,3,20,55
69,2015,1,3,21,65
70,2015,1,3,22,68
71,2015,1,3,23,88
72,2015,1,4,0,86
73,2015,1,4,1,61
74,2015,1,4,2,100
75,2015,1,4,3,51
76,2015,1,4,4,61
77,2015,1,4,5,70
78,2015,1,4,6,52
79,2015,1,4,7,46
80,2015,1,4,8,36
81,2015,1,4,9,52
82,2015,1,4,10,61
83,2015,1,4,11,22
84,2015,1,4,12,48
85,2015,1,4,13,64
86,2015,1,4,14,51
87,2015,1,4,15,65
88,2015,1,4,16,50
89,2015,1,4,17,52
90,2015,1,4,18,72
91,2015,1,4,19,57
92,2015,1,4,20,65
93,2015,1,4,21,62
94,2015,1,4,22,70
95,2015,1,4,23,72
96,2015,1,5,0,89
97,2015,1,5,1,65
98,2015,1,5,2,82
99,2015,1,5,3,64
100,2015,1,5,4,51
101,2015,1,5,5,54
102,2015,1,5,6,45
103,2015,1,5,7,87
104,2015,1,5,8,47
105,2015,1,5,9,39
106,2015,1,5,10,39
107,2015,1,5,11,37
108,2015,1,5,12,66
109,2015,1,5,13,27
110,2015,1,5,14,38
111,2015,1,5,15,41
112,2015,1,5,16,68
113,2015,1,5,17,65
114,2015,1,5,18,62
115,2015,1,5,19,55
116,2015,1,5,20,66
117,2015,1,5,21,70
118,2015,1,5,22,81
119,2015,1,5,23,71
120,2015,1,6,0,54
121,2015,1,6,1,85
122,2015,1,6,2,37
123,2015,1,6,3,66
124,2015,1,6,4,56
125,2015,1,6,5,59
126,2015,1,6,6,69
127,2015,1,6,7,54
128,2015,1,6,8,62
129,2015,1,6,9,35
130,2015,1,6,10,75
131,2015,1,6,11,59
132,2015,1,6,12,51
133,2015,1,6,13,73
134,2015,1,6,14,55
135,2015,1,6,15,64
136,2015,1,6,16,80
137,2015,1,6,17,76
138,2015,1,6,18,69
139,2015,1,6,19,62
140,2015,1,6,20,61
141,2015,1,6,21,66
142,2015,1,6,22,66
143,2015,1,6,23,43
144,2015,1,7,0,43
145,2015,1,7,1,54
146,2015,1,7,2,61
147,2015,1,7,3,67
148,2015,1,7,4,64
149,2015,1,7,5,52
150,2015,1,7,6,69
151,2015,1,7,7,45
152,2015,1,7,8,59
153,2015,1,7,9,37
154,2015,1,7,10,27
155,2015,1,7,11,60
156,2015,1,7,12,50
157,2015,1,7,13,48
158,2015,1,7,14,35
159,2015,1,7,15,44
160,2015,1,7,16,40
161,2015,1,7,17,48
162,2015,1,7,18,53
163,2015,1,7,19,59
164,2015,1,7,20,58
165,2015,1,7,21,49
166,2015,1,7,22,53
167,2015,1,7,23,75
168,2015,1,8,0,86
169,2015,1,8,0,60
170,2015,1,8,1,40
171,2015,1,8,2,37
172,2015,1,8,3,48
173,2015,1,8,4,47
174,2015,1,8,5,47
175,2015,1,8,6,48
176,2015,1,8,7,38
177,2015,1,8,8,19
178,2015,1,8,9,20
179,2015,1,8,10,41
180,2015,1,8,11,15
181,2015,1,8,12,25
182,2015,1,8,13,23
183,2015,1,8,14,37
184,2015,1,8,15,44
185,2015,1,8,16,37
186,2015,1,8,17,38
187,2015,1,8,18,49
188,2015,1,8,19,44
189,2015,1,8,20,51
190,2015,1,8,21,41
191,2015,1,8,22,33
192,2015,1,8,23,43
193,2015,1,9,0,55
194,2015,1,9,1,28
195,2015,1,9,2,60
196,2015,1,9,3,38
197,2015,1,9,4,32
198,2015,1,9,5,29
199,2015,1,9,6,39
200,2015,1,9,7,41
201,2015,1,9,8,24
202,2015,1,9,9,34
203,2015,1,9,10,20
204,2015,1,9,11,28
205,2015,1,9,12,32
206,2015,1,9,13,24
207,2015,1,9,14,24
208,2015,1,9,15,24
209,2015,1,9,16,26
210,2015,1,9,17,38
211,2015,1,9,18,36
212,2015,1,9,19,35
213,2015,1,9,20,39
214,2015,1,9,21,35
215,2015,1,9,22,60
216,2015,1,9,23,41
217,2015,1,10,0,44
218,2015,1,10,1,47
219,2015,1,10,2,43
220,2015,1,10,3,33
221,2015,1,10,4,26
222,2015,1,10,5,48
223,2015,1,10,6,29
224,2015,1,10,7,36
225,2015,1,10,8,35
226,2015,1,10,9,20
227,2015,1,10,10,24
228,2015,1,10,11,29
229,2015,1,10,12,34
230,2015,1,10,13,15
231,2015,1,10,14,38
232,2015,1,10,15,36
233,2015,1,10,16,37
234,2015,1,10,17,32
235,2015,1,10,18,36
236,2015,1,10,19,29
237,2015,1,10,20,41
238,2015,1,10,21,10
239,2015,1,10,22,31
240,2015,1,10,23,30
241,2015,1,11,0,40
242,2015,1,11,1,46
243,2015,1,11,2,42
244,2015,1,11,3,26
245,2015,1,11,4,36
246,2015,1,11,5,38
247,2015,1,11,6,19
248,2015,1,11,7,20
249,2015,1,11,8,28
250,2015,1,11,9,30
251,2015,1,11,10,43
252,2015,1,11,11,26
253,2015,1,11,12,28
254,2015,1,11,13,24
255,2015,1,11,14,19
256,2015,1,11,15,28
257,2015,1,11,16,22
258,2015,1,11,17,17
259,2015,1,11,18,37
260,2015,1,11,19,31
261,2015,1,11,20,40
262,2015,1,11,21,33
263,2015,1,11,22,39
264,2015,1,11,23,46
265,2015,1,12,0,34
266,2015,1,12,1,38
267,2015,1,12,2,37
268,2015,1,12,3,38
269,2015,1,12,4,36
270,2015,1,12,5,31
271,2015,1,12,6,30
272,2015,1,12,7,21
273,2015,1,12,8,25
274,2015,1,12,9,32
275,2015,1,12,10,23
276,2015,1,12,11,32
277,2015,1,12,12,23
278,2015,1,12,13,30
279,2015,1,12,14,33
280,2015,1,12,15,33
281,2015,1,12,16,28
282,2015,1,12,17,22
283,2015,1,12,18,31
284,2015,1,12,19,40
285,2015,1,12,20,38
286,2015,1,12,21,33
287,2015,1,12,22,41
288,2015,1,12,23,48
289,2015,1,13,0,24
290,2015,1,13,1,30
291,2015,1,13,2,42
292,2015,1,13,3,47
293,2015,1,13,4,43
294,2015,1,13,5,41
295,2015,1,13,6,48
296,2015,1,13,7,31
297,2015,1,13,8,36
298,2015,1,13,9,37
299,2015,1,13,10,46
300,2015,1,13,11,35
301,2015,1,13,12,33
302,2015,1,13,13,34
303,2015,1,13,14,37
304,2015,1,13,15,33
305,2015,1,13,16,34
306,2015,1,13,17,43
307,2015,1,13,18,46
308,2015,1,13,19,36
309,2015,1,13,20,36
310,2015,1,13,21,49
311,2015,1,13,22,52
312,2015,1,13,23,70
313,2015,1,14,0,46
314,2015,1,14,1,59
315,2015,1,14,2,72
316,2015,1,14,3,42
317,2015,1,14,4,42
318,2015,1,14,5,63
319,2015,1,14,6,34
320,2015,1,14,7,60
321,2015,1,14,8,71
322,2015,1,14,9,52
323,2015,1,14,10,55
324,2015,1,14,11,45
325,2015,1,14,12,45
326,2015,1,14,13,53
327,2015,1,14,14,51
328,2015,1,14,15,50
329,2015,1,14,16,58
330,2015,1,14,17,70
331,2015,1,14,18,71
332,2015,1,14,19,68
333,2015,1,14,20,66
334,2015,1,14,21,67
335,2015,1,14,22,100
336,2015,1,14,23,83
337,2015,1,15,0,72
338,2015,1,15,0,85
339,2015,1,15,1,46
340,2015,1,15,2,74
341,2015,1,15,3,83
342,2015,1,15,4,100
343,2015,1,15,5,95
344,2015,1,15,6,87
345,2015,1,15,7,53
346,2015,1,15,8,41
347,2015,1,15,9,54
348,2015,1,15,10,64
349,2015,1,15,11,53
350,2015,1,15,12,56
351,2015,1,15,13,61
352,2015,1,15,14,55
353,2015,1,15,15,55
354,2015,1,15,16,56
355,2015,1,15,17,53
356,2015,1,15,18,57
357,2015,1,15,19,63
358,2015,1,15,20,44
359,2015,1,15,21,69
360,2015,1,15,22,60
361,2015,1,15,23,68
362,2015,1,16,0,69
363,2015,1,16,1,69
364,2015,1,16,2,52
365,2015,1,16,3,57
366,2015,1,16,4,47
367,2015,1,16,5,82
368,2015,1,16,6,62
369,2015,1,16,7,30
370,2015,1,16,8,38
371,2015,1,16,9,46
372,2015,1,16,10,41
373,2015,1,16,11,41
374,2015,1,16,12,49
375,2015,1,16,13,55
376,2015,1,16,14,33
377,2015,1,16,15,58
378,2015,1,16,16,65
379,2015,1,16,17,47
380,2015,1,16,18,56
381,2015,1,16,19,63
382,2015,1,16,20,41
383,2015,1,16,21,62
384,2015,1,16,22,61
385,2015,1,16,23,50
386,2015,1,17,0,72
387,2015,1,17,1,52
388,2015,1,17,2,52
389,2015,1,17,3,46
390,2015,1,17,4,33
391,2015,1,17,5,62
392,2015,1,17,6,9
393,2015,1,17,7,31
394,2015,1,17,8,23
395,2015,1,17,9,45
396,2015,1,17,10,41
397,2015,1,17,11,34
398,2015,1,17,12,43
399,2015,1,17,13,33
400,2015,1,17,14,37
401,2015,1,17,15,30
402,2015,1,17,16,43
403,2015,1,17,17,34
404,2015,1,17,18,32
405,2015,1,17,19,43
406,2015,1,17,20,39
407,2015,1,17,21,49
408,2015,1,17,22,60
409,2015,1,17,23,63
410,2015,1,18,0,71
411,2015,1,18,1,42
412,2015,1,18,2,45
413,2015,1,18,3,49
414,2015,1,18,4,42
415,2015,1,18,5,42
416,2015,1,18,6,42
417,2015,1,18,7,44
418,2015,1,18,8,31
419,2015,1,18,9,43
420,2015,1,18,10,29
421,2015,1,18,11,28
422,2015,1,18,12,33
